22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
22:42:27.256 [main] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
22:42:27.462 [main] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
22:42:27.463 [main] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
22:42:27.464 [main] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
22:42:27.465 [main] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1729647747465 with initial instances count: 0
22:42:27.470 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application BOOK-SERVICE with eureka with status UP
22:42:27.470 [main] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1729647747470, current=UP, previous=STARTING]
22:42:27.471 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_BOOK-SERVICE/192.168.1.7:book-service:8100: registering service...
22:42:27.517 [main] INFO  c.f.b.BookServiceApplicationTests - Started BookServiceApplicationTests in 4.188 seconds (process running for 4.84)
22:42:27.529 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_BOOK-SERVICE/192.168.1.7:book-service:8100 - registration status: 204
22:42:28.020 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application BOOK-SERVICE with eureka with status DOWN
22:42:28.020 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1729647748020, current=DOWN, previous=UP]
22:42:28.020 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_BOOK-SERVICE/192.168.1.7:book-service:8100: registering service...
22:42:28.026 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_BOOK-SERVICE/192.168.1.7:book-service:8100 - registration status: 204
22:42:28.028 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:42:28.030 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:42:28.032 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
22:42:28.032 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
